Time_new,Temperature,Humidity,Wind_Speed,Precip
2013-09-12 00:00,17.78,94,2,0.0
2013-09-12 01:00,17.78,94,0,0.0
2013-09-12 02:00,17.78,94,2,0.0
2013-09-12 03:00,17.22,100,2,0.0
2013-09-12 04:00,18.89,88,2,0.0
2013-09-12 05:00,17.78,94,2,0.0
2013-09-12 06:00,17.78,94,2,0.0
2013-09-12 07:00,18.89,100,0,0.0
2013-09-12 08:00,22.22,88,2,0.0
2013-09-12 09:00,25.0,74,2,0.0
2013-09-12 10:00,27.22,65,2,0.0
2013-09-12 11:00,27.78,62,4,0.0
2013-09-12 12:00,27.78,62,2,0.0
2013-09-12 13:00,27.78,58,2,0.0
2013-09-12 14:00,27.78,58,2,0.0
2013-09-12 15:00,27.22,65,4,0.0
2013-09-12 16:00,27.22,65,4,0.0
2013-09-12 17:00,26.11,65,4,0.0
2013-09-12 18:00,23.89,78,2,0.0
2013-09-12 19:00,22.22,88,2,0.0
2013-09-12 20:00,22.78,78,4,0.0
2013-09-12 21:00,22.22,78,4,0.0
2013-09-12 22:00,20.0,88,2,0.0
2013-09-12 23:00,18.89,94,0,0.0
2013-09-13 00:00,18.89,94,2,0.0
2013-09-13 01:00,17.78,94,2,0.0
2013-09-13 02:00,17.22,100,0,0.0
2013-09-13 03:00,17.22,94,2,0.0
2013-09-13 04:00,16.11,100,4,0.0
2013-09-13 05:00,17.22,100,4,0.0
2013-09-13 06:00,16.11,94,2,0.0
2013-09-13 07:00,17.78,94,0,0.0
2013-09-13 08:00,20.0,88,2,0.0
2013-09-13 09:00,22.78,73,9,0.0
2013-09-13 10:00,25.0,65,11,0.0
2013-09-13 11:00,27.22,61,9,0.0
2013-09-13 12:00,27.22,61,7,0.0
2013-09-13 13:00,27.78,58,7,0.0
2013-09-13 14:00,30.0,48,9,0.0
2013-09-13 15:00,30.0,48,9,0.0
2013-09-13 16:00,30.0,48,7,0.0
2013-09-13 17:00,27.78,58,7,0.0
2013-09-13 18:00,26.11,65,7,0.0
2013-09-13 19:00,23.89,73,2,0.0
2013-09-13 20:00,21.11,88,2,0.0
2013-09-13 21:00,18.89,94,2,0.0
2013-09-13 22:00,18.89,94,0,0.0
2013-09-13 23:00,17.78,100,2,0.0
2013-09-14 00:00,18.89,94,2,0.0
2013-09-14 01:00,17.78,94,0,0.0
2013-09-14 02:00,20.0,94,9,0.0
2013-09-14 03:00,20.0,94,4,0.0
2013-09-14 04:00,20.0,88,4,0.0
2013-09-14 05:00,18.89,94,4,0.0
2013-09-14 06:00,18.89,94,4,0.0
2013-09-14 07:00,20.0,94,4,0.0
2013-09-14 08:00,22.78,83,2,0.0
2013-09-14 09:00,26.11,74,4,0.0
2013-09-14 10:00,27.78,62,4,0.0
2013-09-14 11:00,28.89,55,9,0.0
2013-09-14 12:00,31.11,49,7,0.0
2013-09-14 13:00,31.11,49,7,0.0
2013-09-14 14:00,31.11,52,7,0.0
2013-09-14 15:00,31.11,52,7,0.0
2013-09-14 16:00,30.0,58,7,0.0
2013-09-14 17:00,28.89,62,4,0.0
2013-09-14 18:00,27.22,74,4,0.0
2013-09-14 19:00,26.11,74,7,0.0
2013-09-14 20:00,25.0,74,7,0.0
2013-09-14 21:00,25.0,74,4,0.0
2013-09-14 22:00,22.78,88,2,0.0
2013-09-14 23:00,22.22,88,2,0.0
2013-09-15 00:00,22.22,88,2,0.0
2013-09-15 01:00,22.22,88,2,0.0
2013-09-15 02:00,20.0,100,2,0.0
2013-09-15 03:00,22.22,88,2,0.0
2013-09-15 04:00,21.11,94,4,0.0
2013-09-15 05:00,22.22,88,2,0.0
2013-09-15 06:00,21.11,94,0,0.0
2013-09-15 07:00,22.22,88,4,0.0
2013-09-15 08:00,22.78,88,4,0.0
2013-09-15 09:00,25.0,78,7,0.0
2013-09-15 10:00,26.11,74,7,0.0
2013-09-15 11:00,27.22,65,4,0.0
2013-09-15 12:00,27.78,62,7,0.0
2013-09-15 13:00,27.78,58,7,0.0
2013-09-15 14:00,28.89,51,7,0.0
2013-09-15 15:00,28.89,48,7,0.0
2013-09-15 16:00,28.89,51,7,0.0
2013-09-15 17:00,27.22,54,4,0.0
2013-09-15 18:00,25.0,61,4,0.0
2013-09-15 19:00,23.89,65,4,0.0
2013-09-15 20:00,22.78,69,4,0.0
2013-09-15 21:00,22.22,69,2,0.0
2013-09-15 22:00,21.11,78,2,0.0
2013-09-15 23:00,21.11,78,2,0.0
2013-09-16 00:00,21.11,83,2,0.0
2013-09-16 01:00,20.0,88,2,0.0
2013-09-16 02:00,20.0,88,2,0.0
2013-09-16 03:00,21.11,88,2,0.0
2013-09-16 04:00,20.0,94,0,0.0
2013-09-16 05:00,20.0,94,2,0.0
2013-09-16 06:00,20.0,94,2,0.0
2013-09-16 07:00,20.0,94,0,0.0
2013-09-16 08:00,22.78,83,0,0.0
2013-09-16 09:00,26.11,65,2,0.0
2013-09-16 10:00,27.22,61,2,0.0
2013-09-16 11:00,28.89,48,7,0.0
2013-09-16 12:00,32.22,40,4,0.0
2013-09-16 13:00,31.11,43,4,0.0
2013-09-16 14:00,32.22,43,2,0.0
2013-09-16 15:00,32.22,40,2,0.0
2013-09-16 16:00,31.11,38,2,0.0
2013-09-16 17:00,31.11,46,4,0.0
2013-09-16 18:00,26.11,61,4,0.0
2013-09-16 19:00,22.78,78,2,0.0
2013-09-16 20:00,21.11,88,2,0.0
2013-09-16 21:00,23.89,61,7,0.0
2013-09-16 22:00,23.89,57,7,0.0
2013-09-16 23:00,20.0,83,0,0.0
2013-09-17 00:00,18.89,88,2,0.0
2013-09-17 01:00,17.78,94,2,0.0
2013-09-17 02:00,17.78,88,2,0.0
2013-09-17 03:00,17.22,94,2,0.0
2013-09-17 04:00,17.22,94,0,0.0
2013-09-17 05:00,20.0,83,4,0.0
2013-09-17 06:00,18.89,88,2,0.0
2013-09-17 07:00,22.22,73,4,0.0
2013-09-17 08:00,25.0,69,2,0.0
2013-09-17 09:00,27.78,54,2,0.0
2013-09-17 10:00,31.11,40,7,0.0
2013-09-17 11:00,32.22,36,7,0.0
2013-09-17 12:00,32.22,36,4,0.0
2013-09-17 13:00,32.78,36,4,0.0
2013-09-17 14:00,33.89,34,2,0.0
2013-09-17 15:00,33.89,34,7,0.0
2013-09-17 16:00,32.78,38,4,0.0
2013-09-17 17:00,32.22,43,2,0.0
2013-09-17 18:00,27.78,66,2,0.0
2013-09-17 19:00,25.0,78,2,0.0
2013-09-17 20:00,22.78,88,0,0.0
2013-09-17 21:00,22.22,88,0,0.0
2013-09-17 22:00,22.22,78,2,0.0
2013-09-17 23:00,20.0,83,0,0.0
2013-09-18 00:00,18.89,88,0,0.0
2013-09-18 01:00,17.78,88,2,0.0
2013-09-18 02:00,17.78,88,2,0.0
2013-09-18 03:00,17.22,88,2,0.0
2013-09-18 04:00,17.22,88,0,0.0
2013-09-18 05:00,16.11,94,0,0.0
2013-09-18 06:00,16.11,94,2,0.0
2013-09-18 07:00,17.78,94,0,0.0
2013-09-18 08:00,22.22,73,2,0.0
2013-09-18 09:00,25.0,57,2,0.0
2013-09-18 10:00,27.78,45,2,0.0
2013-09-18 11:00,30.0,35,4,0.0
2013-09-18 12:00,31.11,29,2,0.0
2013-09-18 13:00,32.22,26,4,0.0
2013-09-18 14:00,32.78,26,4,0.0
2013-09-18 15:00,32.22,27,4,0.0
2013-09-18 16:00,32.78,28,2,0.0
2013-09-18 17:00,31.11,33,7,0.0
2013-09-18 18:00,27.22,48,4,0.0
2013-09-18 19:00,26.11,47,4,0.0
2013-09-18 20:00,23.89,50,4,0.0
2013-09-18 21:00,20.0,64,2,0.0
2013-09-18 22:00,18.89,68,2,0.0
2013-09-18 23:00,17.78,73,2,0.0
